donation id,donation date,donation type,donation card type,gross amount,card processing fee amount,card processing fee vat amount,transaction fee amount,transaction fee vat amount,total_deductions,net amount,gift aid amount,gift aid paid to charity status,estimated transitional relief,charity donor id,donor title,donor forename,donor surname,donor date of birth,donor address line 1,donor address line 2,donor address line 3,donor address line 4,donor postcode,donor country,donor telephone number,donor email address,donor charity marketing allowed,donor gift aid status,donor code 1 label,donor code 1 value,donor code 2 label,donor code 2 value,donor message,charity fundraising page id,fundraising page name,fundraising page description,fundraising page code1 label,fundraising page code1 value,fundraising page code2 label,fundraising page code2 value,charity event id,event name,date of event,charity fundraiser id,fundraiser title,fundraiser forename,fundraiser surname,fundraiser date of birth,fundraiser address line 1,fundraiser address line 2,fundraiser address line 3,fundraiser address line 4,fundraiser postcode,fundraiser country,fundraiser email address,fundraiser url,fundraiser telephone number,fundraiser charity marketing allowed,fundraiser code 1 label,fundraiser code 1 value,fundraiser code 2 label,fundraiser code 2 value,fundraiser group id,group name
"4,546,451",28-Nov-12,Regular Donation,VISA DEBIT,10,0.15,0,0.2,0,0.35,9.65,,,0,"2,339,445",Mr,2339445FirstName,2339445LastName,,,,,,28010,Spain,,2339445@gmail.com.fake,Charity Marketing Allowed,Donor States Not Eligible for Gift Aid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,491,983",5-Nov-12,Regular Donation,MASTERCARD,10,0.15,0,0.2,0,0.35,9.65,2.5,Due to Charity,0,"2,784,499",Mr,2784499FirstName,2784499LastName,1-Jan-80,AddressLine1,Addressline2,Norwich,Norfolk,NR10 3BP,United Kingdom,791111111,2784499@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,491,984",5-Nov-12,Regular Donation,MASTERCARD,10,0.15,0,0.2,0,0.35,9.65,2.5,Due to Charity,0,"2,784,668",Mrs,2784668FirstName,2784668LastName,1-Jan-80,AddressLine1,Addressline2,Norwich,Norfolk,NR10 3BP,United Kingdom,791111112,2784668@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4,484,242",1-Nov-12,Single Web Donation,MASTERCARD,50,0.73,0,1,0,1.73,48.27,12.5,Due to Charity,0,"4,300,176",Mrs,4300176FirstName,4300176LastName,,AddressLine1,Addressline2,Guildford,Surrey,GU1 1ES,United Kingdom,791111113,4300176@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,254468's Donor Message,"240,423",254468's Fundraising Page,Other,,,,,,,,"254,468",Miss,Sally,Saunders,1-Jan-70,AddressLine1,,Guildford,Surrey,GU1 1ES,United Kingdom,254468@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed,,,,,,
"4,494,297",5-Nov-12,Single Web Donation,AMERICAN EXPRESS,20,0.32,0,0.4,0,0.72,19.28,5,Due to Charity,0,"4,309,385",Mr,4309385FirstName,4309385LastName,,AddressLine1,Addressline2,Warwick,Warwickshire,CV35 8BD,United Kingdom,791111114,4309385@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,254468's Donor Message,"240,423",254468's Fundraising Page,Other,,,,,,,,"254,468",Miss,Sally,Saunders,1-Jan-70,AddressLine1,,Guildford,Surrey,GU1 1ES,United Kingdom,254468@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed,,,,,,
"4,494,332",5-Nov-12,Single Web Donation,VISA DEBIT,20,0.29,0,0.4,0,0.69,19.31,5,Due to Charity,0,"4,309,418",Ms,4309418FirstName,4309418LastName,,AddressLine1,Addressline2,London,London,W14 0LN,United Kingdom,791111115,4309418@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,254468's Donor Message,"240,423",254468's Fundraising Page,Other,,,,,,,,"254,468",Miss,Sally,Saunders,1-Jan-70,AddressLine1,,Guildford,Surrey,GU1 1ES,United Kingdom,254468@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed,,,,,,
"4,494,411",5-Nov-12,Single Web Donation,PAYPAL,20,0.32,0,0.4,0,0.72,19.28,5,Due to Charity,0,"4,309,491",,4309491FirstName,4309491LastName,,AddressLine1,Addressline2,london,,E3 4EP,United Kingdom,791111116,4309491@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,254468's Donor Message,"240,423",254468's Fundraising Page,Other,,,,,,,,"254,468",Miss,Sally,Saunders,1-Jan-70,AddressLine1,,Guildford,Surrey,GU1 1ES,United Kingdom,254468@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed,,,,,,
"4,494,588",5-Nov-12,Single Web Donation,PAYPAL,10,0.16,0,0.2,0,0.36,9.64,2.5,Due to Charity,0,"4,309,658",,4309658FirstName,4309658LastName,,AddressLine1,Addressline2,London,,W14 0NL,United Kingdom,791111117,4309658@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,254468's Donor Message,"240,423",254468's Fundraising Page,Other,,,,,,,,"254,468",Miss,Sally,Saunders,1-Jan-70,AddressLine1,,Guildford,Surrey,GU1 1ES,United Kingdom,254468@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed,,,,,,
"4,494,654",5-Nov-12,Single Web Donation,VISA DEBIT,10,0.15,0,0.2,0,0.35,9.65,2.5,Due to Charity,0,"4,309,722",Miss,4309722FirstName,4309722LastName,,AddressLine1,Addressline2,London,London,SW17 9LD,United Kingdom,791111118,4309722@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,254468's Donor Message,"240,423",254468's Fundraising Page,Other,,,,,,,,"254,468",Miss,Sally,Saunders,1-Jan-70,AddressLine1,,Guildford,Surrey,GU1 1ES,United Kingdom,254468@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed,,,,,,
"4,497,763",6-Nov-12,Single Web Donation,PAYPAL,10,0.16,0,0.2,0,0.36,9.64,2.5,Due to Charity,0,"4,312,613",,4312613FirstName,4312613LastName,,AddressLine1,Addressline2,Great Bookham,,KT23 4LD,United Kingdom,791111119,4312613@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,254468's Donor Message,"240,423",254468's Fundraising Page,Other,,,,,,,,"254,468",Miss,Sally,Saunders,1-Jan-70,AddressLine1,,Guildford,Surrey,GU1 1ES,United Kingdom,254468@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed,,,,,,
"4,505,745",9-Nov-12,Single Web Donation,VISA DEBIT,25,0.37,0,0.5,0,0.87,24.13,6.25,Due to Charity,0,"4,320,079",Mr,4320079FirstName,4320079LastName,,AddressLine1,Addressline2,St. Helens,Merseyside,Wa10 2af,United Kingdom,791111120,4320079@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed,,,,,,
"4,506,831",10-Nov-12,Single Web Donation,MASTERCARD,25,0.37,0,0.5,0,0.87,24.13,6.25,Due to Charity,0,"4,321,009",Miss,4321009FirstName,4321009LastName,,AddressLine1,Addressline2,ardrossan,ayrshire,ka22 8dg,United Kingdom,791111121,4321009@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed,,,,,,
"4,509,373",11-Nov-12,Single Web Donation,VISA DEBIT,50,0.73,0,1,0,1.73,48.27,12.5,Due to Charity,0,"4,323,376",Mr,4323376FirstName,4323376LastName,,AddressLine1,Addressline2,Keighley,West Yorkshire,BD22 9LY,United Kingdom,791111122,4323376@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed,,,,,,
"4,510,813",12-Nov-12,Single Web Donation,PAYPAL,5,0.08,0,0.1,0,0.18,4.82,1.25,Due to Charity,0,"4,324,669",,4324669FirstName,4324669LastName,,AddressLine1,Addressline2,Isle of Man,,IM5 1PU,United Kingdom,791111123,4324669@gmail.com.fake,Charity Marketing Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed,,,,,,
"4,510,921",12-Nov-12,Single Web Donation,MASTERCARD,5,0.08,0,0.1,0,0.18,4.82,1.25,Due to Charity,0,"4,324,772",Mr,4324772FirstName,4324772LastName,,AddressLine1,Addressline2,Rugeley,Staffordshire,WS15 4UY,United Kingdom,791111124,4324772@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed,,,,,,
"4,510,967",12-Nov-12,Single Web Donation,VISA DEBIT,5,0.08,0,0.1,0,0.18,4.82,1.25,Due to Charity,0,"4,324,816",Mr,4324816FirstName,4324816LastName,,AddressLine1,Addressline2,Wirral,Merseyside,CH60 6SU,United Kingdom,791111125,4324816@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,511,046",12-Nov-12,Single Web Donation,PAYPAL,5,0.08,0,0.1,0,0.18,4.82,1.25,Due to Charity,0,"4,324,891",,4324891FirstName,4324891LastName,,AddressLine1,Addressline2,Hemington,,PE8 5QJ,United Kingdom,791111126,4324891@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,511,681",12-Nov-12,Single Web Donation,PAYPAL,5,0.08,0,0.1,0,0.18,4.82,1.25,Due to Charity,0,"4,325,514",,4325514FirstName,4325514LastName,,AddressLine1,Addressline2,Braintree,,CM7 9UB,United Kingdom,791111127,4325514@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,512,175",12-Nov-12,Single Web Donation,PAYPAL,10,0.16,0,0.2,0,0.36,9.64,2.5,Due to Charity,0,"4,325,993",,4325993FirstName,4325993LastName,,AddressLine1,Addressline2,Oxted,,RH8 0BN,United Kingdom,791111128,4325993@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,512,448",13-Nov-12,Single Web Donation,MASTERCARD,12.5,0.19,0,0.25,0,0.44,12.06,3.13,Due to Charity,0,"4,326,186",Mr,4326186FirstName,4326186LastName,,AddressLine1,Addressline2,Bradford,West Yorkshire,BD3 7DG,United Kingdom,791111129,4326186@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,513,350",13-Nov-12,Single Web Donation,VISA CREDIT,50,0.73,0,1,0,1.73,48.27,12.5,Due to Charity,0,"4,327,056",Mr,4327056FirstName,4327056LastName,1-Jan-80,AddressLine1,Addressline2,Coleshill,Warwickshire,B46 1JU,United Kingdom,791111130,4327056@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,513,883",13-Nov-12,Single Web Donation,AMERICAN EXPRESS,50,0.8,0,1,0,1.8,48.2,,,0,"4,327,569",Mr,4327569FirstName,4327569LastName,,AddressLine1,Addressline2,Matlock,Derbyshire,DE4 5JQ,United Kingdom,791111131,4327569@gmail.com.fake,Charity Marketing Not Allowed,Donor States Not Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,514,206",13-Nov-12,Single Web Donation,VISA DEBIT,50,0.73,0,1,0,1.73,48.27,12.5,Due to Charity,0,"4,327,876",Mr,4327876FirstName,4327876LastName,,AddressLine1,Addressline2,Isle of Man,Douglas,IM2 5LU,United Kingdom,791111132,4327876@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,515,206",14-Nov-12,Single Web Donation,PAYPAL,100,1.6,0,2,0,3.6,96.4,25,Due to Charity,0,"4,328,765",,4328765FirstName,4328765LastName,,AddressLine1,Addressline2,Wickham Bishops,,CM83EB,United Kingdom,791111133,4328765@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,254468's Donor Message,"240,423",254468's Fundraising Page,Other,,,,,,,,"254,468",Miss,Sally,Saunders,1-Jan-70,AddressLine1,,Guildford,Surrey,GU1 1ES,United Kingdom,254468@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,516,594",14-Nov-12,Single Web Donation,MASTERCARD,12.5,0.19,0,0.25,0,0.44,12.06,3.13,Due to Charity,0,"4,330,125",Mr,4330125FirstName,4330125LastName,,AddressLine1,Addressline2,st helens,merseyside,wa119nw,United Kingdom,791111134,4330125@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,516,754",14-Nov-12,Single Web Donation,VISA DEBIT,5,0.08,0,0.1,0,0.18,4.82,1.25,Due to Charity,0,"4,330,282",Mr,4330282FirstName,4330282LastName,,AddressLine1,Addressline2,Norwich,Norfolk,NR7 8AA,United Kingdom,791111135,4330282@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,532,245",21-Nov-12,Single Web Donation,PAYPAL,25,0.4,0,0.5,0,0.9,24.1,,,0,"4,344,586",,4344586FirstName,4344586LastName,,AddressLine1,Addressline2,Hasselt,,8061RW,United Kingdom,791111136,4344586@gmail.com.fake,Charity Marketing Allowed,Donor States Not Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,532,284",21-Nov-12,Single Web Donation,AMERICAN EXPRESS,10,0.16,0,0.2,0,0.36,9.64,2.5,Due to Charity,0,"4,344,623",Mr,4344623FirstName,4344623LastName,,AddressLine1,Addressline2,Newcastle upon Tyne,Tyne and Wear,NE7 7GP,United Kingdom,791111137,4344623@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,537,453",23-Nov-12,Single Web Donation,VISA DEBIT,10,0.15,0,0.2,0,0.35,9.65,2.5,Due to Charity,0,"4,349,562",Mr,4349562FirstName,4349562LastName,,AddressLine1,Addressline2,Stockport,Greater Manchester,SK6 1RW,United Kingdom,791111138,4349562@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
"4,542,234",26-Nov-12,Single Web Donation,VISA DEBIT,5,0.08,0,0.1,0,0.18,4.82,1.25,Due to Charity,0,"4,354,049",Mrs,4354049FirstName,4354049LastName,,AddressLine1,Addressline2,Normanton,West Yorkshire,WF6 1UL,United Kingdom,791111139,4354049@gmail.com.fake,Charity Marketing Not Allowed,Donor States Eligible for Gift Aid,,,,,266395's Donor Message,"252,800",266395's Fundraising Page,Other,,,,,,,,"266,395",Mr,Steve,Treadmill,1-Jan-60,AddressLine1,,St. Helens,Merseyside,WA11 9NW,United Kingdom,266395@fundraiser-email.com.fake,temporarilyhidden,,Charity Marketing Not Allowed
